month,year,hour,x,full name,lat,lon
1,2011,0,2.05351682,12th St. Oakland City Center,37.803768,-122.27145
2,2011,0,2.302547771,12th St. Oakland City Center,37.803768,-122.27145
3,2011,0,2.130952381,12th St. Oakland City Center,37.803768,-122.27145
4,2011,0,2.299401198,12th St. Oakland City Center,37.803768,-122.27145
5,2011,0,2.207865169,12th St. Oakland City Center,37.803768,-122.27145
6,2011,0,2.198591549,12th St. Oakland City Center,37.803768,-122.27145
7,2011,0,2.293519695,12th St. Oakland City Center,37.803768,-122.27145
8,2011,0,2.181451613,12th St. Oakland City Center,37.803768,-122.27145
9,2011,0,2.317862166,12th St. Oakland City Center,37.803768,-122.27145
10,2011,0,2.524964337,12th St. Oakland City Center,37.803768,-122.27145
11,2011,0,2.305637982,12th St. Oakland City Center,37.803768,-122.27145
12,2011,0,2.421259843,12th St. Oakland City Center,37.803768,-122.27145
1,2011,1,2.035714286,12th St. Oakland City Center,37.803768,-122.27145
2,2011,1,1.584474886,12th St. Oakland City Center,37.803768,-122.27145
3,2011,1,1.545851528,12th St. Oakland City Center,37.803768,-122.27145
4,2011,1,1.534412955,12th St. Oakland City Center,37.803768,-122.27145
5,2011,1,1.541484716,12th St. Oakland City Center,37.803768,-122.27145
6,2011,1,1.6,12th St. Oakland City Center,37.803768,-122.27145
7,2011,1,1.562068966,12th St. Oakland City Center,37.803768,-122.27145
8,2011,1,1.571428571,12th St. Oakland City Center,37.803768,-122.27145
9,2011,1,1.540540541,12th St. Oakland City Center,37.803768,-122.27145
10,2011,1,1.676229508,12th St. Oakland City Center,37.803768,-122.27145
11,2011,1,1.515463918,12th St. Oakland City Center,37.803768,-122.27145
12,2011,1,1.566308244,12th St. Oakland City Center,37.803768,-122.27145
1,2011,2,4.3125,12th St. Oakland City Center,37.803768,-122.27145
4,2011,2,1,12th St. Oakland City Center,37.803768,-122.27145
5,2011,2,1,12th St. Oakland City Center,37.803768,-122.27145
6,2011,2,1.5,12th St. Oakland City Center,37.803768,-122.27145
10,2011,2,1,12th St. Oakland City Center,37.803768,-122.27145
1,2011,3,1.8125,12th St. Oakland City Center,37.803768,-122.27145
11,2011,3,1,12th St. Oakland City Center,37.803768,-122.27145
1,2011,4,2.144,12th St. Oakland City Center,37.803768,-122.27145
2,2011,4,2.201923077,12th St. Oakland City Center,37.803768,-122.27145
3,2011,4,2.26446281,12th St. Oakland City Center,37.803768,-122.27145
4,2011,4,2.254385965,12th St. Oakland City Center,37.803768,-122.27145
5,2011,4,2.155963303,12th St. Oakland City Center,37.803768,-122.27145
6,2011,4,2.38,12th St. Oakland City Center,37.803768,-122.27145
7,2011,4,1.989583333,12th St. Oakland City Center,37.803768,-122.27145
8,2011,4,2.09352518,12th St. Oakland City Center,37.803768,-122.27145
9,2011,4,2.285714286,12th St. Oakland City Center,37.803768,-122.27145
10,2011,4,2.045045045,12th St. Oakland City Center,37.803768,-122.27145
11,2011,4,2.660869565,12th St. Oakland City Center,37.803768,-122.27145
12,2011,4,2.479338843,12th St. Oakland City Center,37.803768,-122.27145
1,2011,5,2.247524752,12th St. Oakland City Center,37.803768,-122.27145
2,2011,5,2.508684864,12th St. Oakland City Center,37.803768,-122.27145
3,2011,5,2.397089397,12th St. Oakland City Center,37.803768,-122.27145
4,2011,5,2.525423729,12th St. Oakland City Center,37.803768,-122.27145
5,2011,5,2.670378619,12th St. Oakland City Center,37.803768,-122.27145
6,2011,5,2.357833656,12th St. Oakland City Center,37.803768,-122.27145
7,2011,5,2.567328918,12th St. Oakland City Center,37.803768,-122.27145
8,2011,5,2.681102362,12th St. Oakland City Center,37.803768,-122.27145
9,2011,5,2.875751503,12th St. Oakland City Center,37.803768,-122.27145
10,2011,5,2.739872068,12th St. Oakland City Center,37.803768,-122.27145
11,2011,5,2.581632653,12th St. Oakland City Center,37.803768,-122.27145
12,2011,5,2.609467456,12th St. Oakland City Center,37.803768,-122.27145
1,2011,6,4.455242967,12th St. Oakland City Center,37.803768,-122.27145
2,2011,6,4.523489933,12th St. Oakland City Center,37.803768,-122.27145
3,2011,6,4.653937947,12th St. Oakland City Center,37.803768,-122.27145
4,2011,6,4.532401525,12th St. Oakland City Center,37.803768,-122.27145
5,2011,6,4.787122208,12th St. Oakland City Center,37.803768,-122.27145
6,2011,6,4.513872135,12th St. Oakland City Center,37.803768,-122.27145
7,2011,6,4.531506849,12th St. Oakland City Center,37.803768,-122.27145
8,2011,6,4.559854897,12th St. Oakland City Center,37.803768,-122.27145
9,2011,6,4.761783439,12th St. Oakland City Center,37.803768,-122.27145
10,2011,6,4.50388601,12th St. Oakland City Center,37.803768,-122.27145
11,2011,6,4.686730506,12th St. Oakland City Center,37.803768,-122.27145
12,2011,6,4.308353808,12th St. Oakland City Center,37.803768,-122.27145
1,2011,7,9.62305296,12th St. Oakland City Center,37.803768,-122.27145
2,2011,7,9.504291845,12th St. Oakland City Center,37.803768,-122.27145
3,2011,7,9.255857545,12th St. Oakland City Center,37.803768,-122.27145
